Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
0,1.5,CC,3.545,15.0,0.0,3.5025000000000004,10.0,0.0,3.5875,20.0,0.0,3.5180000000000002,12.0,0.0
1,1.5,CC,3.545166666666667,15.016666666666667,0.0,3.502670068027211,10.017006802721088,0.0,3.5876143790849673,20.016339869281047,0.0,3.5181680107526883,12.016801075268816,0.0
2,1.5,CC,3.5453333333333332,15.033333333333335,0.0,3.5028401360544223,10.034013605442176,0.0,3.5877287581699346,20.03267973856209,0.0,3.5183360215053763,12.033602150537634,0.0
3,1.5,CC,3.5455,15.050000000000002,0.0,3.503010204081633,10.051020408163264,0.0,3.587843137254902,20.04901960784314,0.0,3.5185040322580647,12.050403225806452,0.0
4,1.5,CC,3.5456666666666665,15.06666666666667,0.0,3.503180272108844,10.068027210884352,0.0,3.5879575163398694,20.065359477124183,0.0,3.5186720430107528,12.067204301075268,0.0
5,1.5,CC,3.5458333333333334,15.083333333333337,0.0,3.5033503401360546,10.08503401360544,0.0,3.5880718954248367,20.08169934640523,0.0,3.518840053763441,12.084005376344086,0.0
6,1.5,CC,3.546,15.100000000000005,0.0,3.503520408163266,10.102040816326529,0.0,3.5881862745098037,20.098039215686274,0.0,3.5190080645161292,12.100806451612902,0.0
7,1.5,CC,3.5461666666666667,15.116666666666672,0.0,3.5036904761904766,10.119047619047619,0.0,3.588300653594771,20.11437908496732,0.0,3.5191760752688173,12.11760752688172,0.0
8,1.5,CC,3.546333333333333,15.13333333333334,0.0,3.5038605442176873,10.136054421768707,0.0,3.5884150326797384,20.130718954248366,0.0,3.5193440860215057,12.134408602150536,0.0
9,1.5,CC,3.5465,15.150000000000007,0.0,3.5040306122448985,10.153061224489795,0.0,3.5885294117647057,20.147058823529413,0.0,3.5195120967741937,12.151209677419354,0.0
